timestamp,location_name,lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
2026-08-28T05:05:14.008798+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-28T05:05:14.008798+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-28T05:05:14.008798+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-28T05:05:14.008798+00:00,Andheri_SEEPZ,19.1197,72.8468,19,22,3763,3250,0.998026,False
2026-08-28T05:05:14.008798+00:00,Malad_Kandivali,19.0861,72.8529,16,20,1231,985,0.996517,False
2026-08-28T18:49:15.931426+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-28T18:49:15.931426+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-28T18:49:15.931426+00:00,Sion_Panvel_Highway,19.0483,72.9058,30,35,809,693,1,False
2026-08-28T18:49:15.931426+00:00,Andheri_SEEPZ,19.1197,72.8468,23,23,3109,3109,1,False
2026-08-28T18:49:15.931426+00:00,Malad_Kandivali,19.0861,72.8529,20,20,985,985,1,False
2026-08-29T01:55:26.750169+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-29T01:55:26.750169+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-29T01:55:26.750169+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-29T01:55:26.750169+00:00,Andheri_SEEPZ,19.1197,72.8468,23,23,3109,3109,1,False
2026-08-29T01:55:26.750169+00:00,Malad_Kandivali,19.0861,72.8529,20,20,985,985,1,False
2026-08-29T04:05:30.578513+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-29T04:05:30.578513+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-29T04:05:30.578513+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-29T04:05:30.578513+00:00,Andheri_SEEPZ,19.1197,72.8468,19,22,3763,3250,0.998561,False
2026-08-29T04:05:30.578513+00:00,Malad_Kandivali,19.0861,72.8529,17,20,1158,985,0.985205,False
2026-08-29T04:32:14.963584+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,25,28,162,144,1,False
2026-08-29T04:32:14.963584+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-29T04:32:14.963584+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-29T04:32:14.963584+00:00,Andheri_SEEPZ,19.1197,72.8468,18,22,3972,3250,0.998027,False
2026-08-29T04:32:14.963584+00:00,Malad_Kandivali,19.0861,72.8529,17,20,1158,985,0.992156,False
2026-08-29T11:20:19.551499+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-29T11:20:19.551499+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-29T11:20:19.551499+00:00,Sion_Panvel_Highway,19.0483,72.9058,27,34,899,714,1,False
2026-08-29T11:20:19.551499+00:00,Andheri_SEEPZ,19.1197,72.8468,15,22,4767,3250,0.99856,False
2026-08-29T11:20:19.551499+00:00,Malad_Kandivali,19.0861,72.8529,15,20,1313,985,0.990268,False
2026-08-29T15:43:31.350799+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-29T15:43:31.350799+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,16,22,590,429,0.936128,False
2026-08-29T15:43:31.350799+00:00,Sion_Panvel_Highway,19.0483,72.9058,29,35,837,693,1,False
2026-08-29T15:43:31.350799+00:00,Andheri_SEEPZ,19.1197,72.8468,17,22,4206,3250,0.997824,False
2026-08-29T15:43:31.350799+00:00,Malad_Kandivali,19.0861,72.8529,16,20,1231,985,0.985797,False
2026-08-29T18:55:54.007412+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-29T18:55:54.007412+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-29T18:55:54.007412+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-29T18:55:54.007412+00:00,Andheri_SEEPZ,19.1197,72.8468,23,23,3109,3109,1,False
2026-08-29T18:55:54.007412+00:00,Malad_Kandivali,19.0861,72.8529,20,20,985,985,1,False
2026-08-29T21:41:35.574143+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-29T21:41:35.574143+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-29T21:41:35.574143+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-29T21:41:35.574143+00:00,Andheri_SEEPZ,19.1197,72.8468,23,23,3109,3109,1,False
2026-08-29T21:41:35.574143+00:00,Malad_Kandivali,19.0861,72.8529,20,20,985,985,1,False
2026-08-29T23:39:31.716885+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-29T23:39:31.716885+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-29T23:39:31.716885+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-29T23:39:31.716885+00:00,Andheri_SEEPZ,19.1197,72.8468,23,23,3109,3109,1,False
2026-08-29T23:39:31.716885+00:00,Malad_Kandivali,19.0861,72.8529,20,20,985,985,1,False
2026-08-30T01:47:10.682455+00:00,Western_Express_Highway_Bandra,19.0596,72.8656,27,27,150,150,1,False
2026-08-30T01:47:10.682455+00:00,Eastern_Express_Highway_Sion,19.0448,72.8619,22,22,429,429,1,False
2026-08-30T01:47:10.682455+00:00,Sion_Panvel_Highway,19.0483,72.9058,35,35,693,693,1,False
2026-08-30T01:47:10.682455+00:00,Andheri_SEEPZ,19.1197,72.8468,23,23,3109,3109,1,False
